Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
ob_152993,Keningau,"KG LIPOSU, KENINGAU",Farm,1,7/1/2025,,Sabah,EVENT 6326,,Sabah,1
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Count of State
ob_111924,Limbang,"LOT.159, 376 DANAU LAND DISTRICT, KG. LEMBUAK, 98700, LIMBANG",Farm,1,14/10/2022,14/1/2023,Sarawak,EVENT 3573,,Sabah,73
ob_111923,Tuaran,KG. TAGINAMBUR,Farm,1,5/10/2022,5/1/2023,Sabah,,,Sarawak,2
ob_108417,Tuaran,"KG. SUKOLI, TELIPOK",Farm,1,11/6/2022,11/9/2022,Sabah,,,,
ob_108416,Papar,KG. PUNSON KIRILIP,Farm,1,31/7/2022,1/11/2022,Sabah,,,,
ob_108415,Betong,"PASA ATAS, 95700, BETONG",Farm,1,28/3/2022,29/6/2022,Sarawak,,,,
ob_108414,Keningau,"BATU.27, JALAN TENOM",Farm,1,8/3/2022,9/6/2022,Sabah,,,,
VL0159/22 (ob_102267),Penampang,Kg. Tomposik,Backyard,1,18/1/2022,18/4/2022,Sabah,,,,
VL0037/21 (ob_102266),Kuala Penyu,Kg. Menunggang,Backyard,1,4/1/2022,4/4/2022,Sabah,,,,
VL0010/22 (ob_102265),Papar,Kg. Lakut,Backyard,1,3/1/2022,3/4/2022,Sabah,,,,
VL0008/21 (ob_102264),Penampang,Kg. Koidupan,Backyard,1,3/1/2022,3/4/2022,Sabah,,,,
VL2888/21 (ob_102263),Papar,Kg. Binurut,Backyard,1,24/11/2021,24/2/2022,Sabah,,,,
VL2860/21 (ob_102262),Papar,Kg. Purak,Farm,1,22/11/2021,22/2/2022,Sabah,,,,
VL3022/21 (ob_97633),Papar,Kg. Kawari,Farm,1,8/12/2021,8/3/2022,Sabah,,,,
VL3124/21 (ob_97632),Penampang,Kg. Tulung Inobong,Village,1,15/12/2021,15/3/2022,Sabah,,,,
VL3004/21 (ob_97631),Tongod,"Batu 27, Jalan Tenom",Farm,1,7/12/2021,7/3/2022,Sabah,,,,
VL3108/21 (ob_97630),Papar,Jln. Bambangan Kogopon,Farm,1,14/12/2021,14/3/2022,Sabah,,,,
VL3235/21 (ob_96634),Penampang,Kg. Putaton Inobong,Village,1,31/12/2021,31/3/2022,Sabah,,,,
VL3230/21 (ob_96633),Penampang,Kg. Koidupan Sugud,Village,1,31/12/2021,31/3/2022,Sabah,,,,
VL3126/21 (ob_96632),Penampang,Kg. Tulung Inobong,Village,1,16/12/2021,16/3/2022,Sabah,,,,
VL3002/21 (ob_96631),Papar,Kg. Gana,Village,1,6/12/2021,6/2/2022,Sabah,,,,
VL2743/21 (ob_96630),Papar,Kg Kambizaan,Village,1,5/11/2021,5/2/2022,Sabah,,,,
VL2568/21 (ob_96629),Kuala Penyu,Kg. Gorowot,Village,1,18/10/2021,18/1/2022,Sabah,,,,
VL2531/21 (ob_96628),Papar,Kg. Lingan Lama,Village,1,14/10/2021,14/1/2022,Sabah,,,,
VL1482/21 (ob_90428),Semporna,Kg. Sungai Buaya,Village,1,5/7/2021,5/10/2021,Sabah,,,,
VL416/21 (ob_90422),Kinabatangan,Lot 1 Kinabatangan,Village,1,5/3/2021,5/6/2021,Sabah,,,,
VL0414/21 (ob_90421),Sandakan,"RDC, Jln Fobia, Sepilok",Village,1,5/3/2021,5/6/2021,Sabah,,,,
VL0387/21 (ob_90420),Tawau,Ulu Brumas,Village,1,3/3/2021,3/6/2021,Sabah,,,,
VL0370/21 (ob_90419),Tongod,Kawasan Hutan Simpan Imbak Canyon,Village,1,2/3/2021,2/6/2021,Sabah,,,,
